City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,college,64.8569,-147.8028,24.49,50,20,1.54,US,1689976669
161,gemena,3.25,19.7667,23.73,84,52,0.98,CD,1689976669
162,lebu,-37.6167,-73.65,10.83,91,100,4.03,CL,1689976669
163,afaahiti,-17.75,-149.2833,25.93,61,42,5.0,PF,1689976669
164,machico,32.7,-16.7667,23.4,79,20,4.63,PT,1689976670
165,inarajan village,13.2736,144.7484,29.11,93,100,4.66,GU,1689976670
166,puttalam,8.0362,79.8283,26.6,84,100,9.61,LK,1689976670
167,georgetown,5.4112,100.3354,23.97,85,20,2.68,MY,1689976670
168,gornopravdinsk,60.05,69.9,13.34,93,31,2.58,RU,1689976670
169,alice springs,-23.7,133.8833,0.75,93,0,2.57,AU,1689976425
170,bechar,31.6167,-2.2167,38.18,10,40,3.09,DZ,1689976671
171,zaozersk,69.4005,32.4476,8.16,86,100,7.08,RU,1689976116
172,stavern,59.0,10.0333,12.88,89,96,6.25,NO,1689976460
173,gaiman,-43.2897,-65.4929,13.81,39,49,4.91,AR,1689976671
174,brisas de zicatela,15.8369,-97.0419,33.29,62,20,4.12,MX,1689976285
175,carutapera,-1.195,-46.02,23.72,88,29,2.77,BR,1689976672
176,sinabang,2.4803,96.3801,26.26,83,97,1.13,ID,1689976672
177,chengzihe,45.3333,131.0667,23.19,88,95,0.79,CN,1689976672
178,belmonte,-15.8631,-38.8828,22.61,78,65,6.75,BR,1689976301
179,penhalonga,-18.8911,32.6978,11.12,94,93,2.37,ZW,1689976673
180,neelankarai,12.9455,80.2575,31.13,62,75,4.12,IN,1689976673
181,xilin hot,43.9667,116.0333,16.26,81,88,2.67,CN,1689976673
182,tingo maria,-9.2895,-76.0088,25.6,71,61,0.89,PE,1689976673
183,kimbe,-5.5502,150.1429,27.04,77,33,1.89,PG,1689976673
184,san sebastian de la gomera,28.0916,-17.1133,24.2,83,20,2.06,ES,1689976674
185,madaripur,23.1753,90.2072,27.22,89,99,5.5,BD,1689976674
186,peace river,56.2501,-117.286,30.17,32,75,2.06,CA,1689976452
187,banda aceh,5.5577,95.3222,26.79,75,89,6.06,ID,1689976380
188,braganca,-1.0536,-46.7656,22.54,95,79,0.9,BR,1689976674
189,palmer,42.1584,-72.3287,25.23,74,75,8.23,US,1689976589
190,trincomalee,8.5711,81.2335,27.39,77,100,10.23,LK,1689976675
191,flying fish cove,-10.4217,105.6791,23.82,83,100,6.17,CX,1689976082
192,chuhar jamali,24.3895,67.9923,29.31,79,100,6.66,PK,1689976675
193,castillos,-34.1667,-53.8333,19.68,85,27,4.94,UY,1689976301
194,quellon,-43.1167,-73.6167,9.14,87,75,3.6,CL,1689976428
195,sosnovo-ozerskoye,52.5249,111.5418,11.35,69,100,2.91,RU,1689976676
196,ulsteinvik,62.3432,5.8487,12.95,85,40,2.68,NO,1689976676
197,mejit,10.2753,170.8646,28.52,78,100,6.39,MH,1689976676
198,thunder bay,48.4001,-89.3168,25.99,44,40,4.63,CA,1689976407
199,wenchang,30.904,118.4887,24.97,95,100,2.2,CN,1689976458
200,moussoro,13.6408,16.4901,34.15,36,14,3.48,TD,1689976677
201,dihok,36.8695,42.994,29.33,13,0,1.85,IQ,1689976677
202,codrington,-38.2667,141.9667,9.46,87,100,5.15,AU,1689976081
203,celldomolk,47.2571,17.1503,16.05,95,95,0.4,HU,1689976678
204,saint-joseph,-21.3667,55.6167,19.71,85,55,6.02,RE,1689976134
205,suksun,57.1431,57.3949,15.21,73,46,3.07,RU,1689976678
206,watseka,40.7762,-87.7364,26.18,55,94,2.8,US,1689976678
207,aykhal,66.0,111.5,18.15,76,82,6.04,RU,1689976304
208,akom ii,2.7833,10.5667,20.53,100,100,0.86,CM,1689976679
209,crane,31.3974,-102.3501,38.0,14,22,7.2,US,1689976679
210,kavaratti,10.5669,72.642,28.16,80,100,9.45,IN,1689976679
211,tsiombe,-25.3,45.4833,18.41,64,26,5.69,MG,1689976679
212,cienfuegos,22.1461,-80.4356,34.08,66,32,3.6,CU,1689976679
213,smithers,54.7804,-127.1743,16.18,94,100,1.54,CA,1689976614
214,shimokizukuri,40.8061,140.3861,24.73,81,19,2.13,JP,1689976680
215,viedma,-40.8135,-62.9967,14.99,43,100,6.76,AR,1689976680
216,leava,-14.3,-178.1667,27.27,81,40,5.16,WF,1689976379
217,yankton,42.8711,-97.3973,27.14,54,0,4.12,US,1689976680
218,queenstown,-31.8976,26.8753,10.84,67,98,7.26,ZA,1689976681
